source,target,value
inj_mech_suffocate,N1,0.0000121
inj_homicide_knife,N1,0.0000455
inj_mech_other,N1,0.0012833
inj_trans_road_pedest,N1,0.0257601
inj_trans_road_pedal,N1,0.000348
inj_homicide_other,N1,0.0000682
inj_trans_road_2wheel,N1,0.0019827
inj_othunintent,N1,0.0012916
inj_animal_nonven,N1,0.0001005
inj_fires,N1,0.0006753
inj_falls,N1,0.0013328
inj_suicide,N1,0.0003585
inj_mech_gun,N1,0.0000121
inj_trans_road_other,N1,0.0008644
inj_drowning,N1,0.0005429
inj_trans_road_4wheel,N1,0.0049887
inj_trans_other,N1,0.1104606
inj_homicide_gun,N1,1.80E-06
inj_animal_venom,N1,9.13E-06
inj_trans_road_pedal,N10,0.0022199
inj_foreign_eye,N10,0.0001323
inj_mech_suffocate,N10,1.29E-06
inj_falls,N10,0.018716
inj_trans_road_2wheel,N10,0.0018129
inj_poisoning,N10,0.0135314
inj_homicide_gun,N10,0.0000791
inj_trans_other,N10,0.0111701
inj_fires,N10,0.2590551
inj_animal_nonven,N10,0.0001374
inj_mech_other,N10,0.0032013
inj_suicide,N10,0.0013704
inj_animal_venom,N10,0.0002123
inj_drowning,N10,0.0005198
inj_foreign_other,N10,0.007879
inj_foreign_aspiration,N10,0.0015064
inj_homicide_other,N10,0.0014828
inj_trans_road_other,N10,5.13E-06
inj_mech_gun,N10,0.0005333
inj_trans_road_pedest,N10,0.0041294
inj_trans_road_4wheel,N10,0.003238
inj_othunintent,N10,0.0122391
inj_homicide_knife,N10,0.0000881
inj_mech_suffocate,N11,0.0543235
inj_trans_other,N11,0.2662374
inj_foreign_aspiration,N11,0.0061524
inj_drowning,N11,0.0437891
inj_othunintent,N11,2.48657
inj_trans_road_4wheel,N11,1.90142
inj_suicide,N11,0.005219
inj_fires,N11,0.1139027
inj_trans_road_2wheel,N11,0.3271864
inj_animal_venom,N11,0.006261
inj_homicide_knife,N11,0.0056894
inj_mech_gun,N11,0.0058048
inj_animal_nonven,N11,0.0380143
inj_homicide_gun,N11,0.0020962
inj_homicide_other,N11,0.0154733
inj_falls,N11,2.834761
inj_trans_road_pedest,N11,0.6664373
inj_foreign_eye,N11,0.0003706
inj_trans_road_pedal,N11,0.1970136
inj_mech_other,N11,0.1157207
inj_foreign_other,N11,0.0054006
inj_poisoning,N11,0.0040923
inj_trans_road_other,N11,0.0357486
inj_trans_road_pedest,N12,0.3308249
inj_foreign_aspiration,N12,0.0990542
inj_othunintent,N12,0.4511209
inj_trans_road_pedal,N12,0.1775677
inj_suicide,N12,0.0049296
inj_trans_road_other,N12,0.022734
inj_trans_other,N12,1.956119
inj_fires,N12,0.0884684
inj_mech_gun,N12,0.014609
inj_animal_nonven,N12,0.2429025
inj_homicide_gun,N12,0.0027397
inj_mech_suffocate,N12,0.0000306
inj_poisoning,N12,0.0405584
inj_drowning,N12,0.0748092
inj_foreign_other,N12,0.0032345
inj_homicide_other,N12,0.0121306
inj_trans_road_4wheel,N12,0.277007
inj_homicide_knife,N12,0.0047678
inj_foreign_eye,N12,0.0100802
inj_trans_road_2wheel,N12,0.238294
inj_mech_other,N12,0.0650503
inj_animal_venom,N12,0.0174206
inj_falls,N12,1.300651
inj_mech_suffocate,N13,0.209898
inj_foreign_other,N13,0.0025772
inj_foreign_aspiration,N13,0.0942131
inj_falls,N13,12.3567
inj_trans_road_4wheel,N13,0.8781886
inj_othunintent,N13,29.55144
inj_trans_road_2wheel,N13,1.400907
inj_trans_road_pedal,N13,1.894398
inj_homicide_knife,N13,0.0093693
inj_homicide_gun,N13,0.0007903
inj_suicide,N13,0.0128693
inj_poisoning,N13,0.0736401
inj_drowning,N13,0.0786767
inj_trans_other,N13,1.867935
inj_trans_road_other,N13,0.0869525
inj_homicide_other,N13,0.146269
inj_foreign_eye,N13,0.0004139
inj_animal_venom,N13,0.0145196
inj_fires,N13,0.2103058
inj_trans_road_pedest,N13,1.493182
inj_mech_gun,N13,0.0605115
inj_mech_other,N13,0.5540841
inj_animal_nonven,N13,0.0345314
inj_foreign_aspiration,N14,0.759444
inj_trans_road_4wheel,N14,262.6982
inj_fires,N14,492.503
inj_homicide_gun,N14,0.5129489
inj_othunintent,N14,1029.023
inj_homicide_other,N14,16.58495
inj_mech_gun,N14,18.93657
inj_mech_other,N14,1077.096
inj_homicide_knife,N14,6.718647
inj_trans_road_pedal,N14,39.83647
inj_animal_venom,N14,3.839304
inj_mech_suffocate,N14,18.76915
inj_foreign_eye,N14,0.0659164
inj_poisoning,N14,0.2155449
inj_trans_road_other,N14,3.543411
inj_foreign_other,N14,16.23743
inj_trans_other,N14,24.73326
inj_trans_road_2wheel,N14,21.11076
inj_trans_road_pedest,N14,12.08319
inj_falls,N14,288.488
inj_animal_nonven,N14,117.8432
inj_drowning,N14,0.8792454
inj_suicide,N14,2.548708
inj_trans_road_other,N15,3.860623
inj_trans_other,N15,7.569712
inj_foreign_other,N15,0.063558
inj_homicide_other,N15,2.102922
inj_foreign_aspiration,N15,0.0876618
inj_homicide_knife,N15,0.310111
inj_mech_gun,N15,0.6902435
inj_fires,N15,1.035791
inj_mech_suffocate,N15,1.809942
inj_trans_road_pedest,N15,14.461
inj_foreign_eye,N15,0.0018533
inj_falls,N15,85.88487
inj_drowning,N15,0.6484778
inj_trans_road_pedal,N15,24.72338
inj_trans_road_4wheel,N15,38.06555
inj_animal_venom,N15,0.0688212
inj_othunintent,N15,84.71537
inj_mech_other,N15,13.96501
inj_suicide,N15,0.0555684
inj_homicide_gun,N15,0.1270555
inj_animal_nonven,N15,0.3803283
inj_trans_road_2wheel,N15,12.00142
inj_poisoning,N15,0.1340224
inj_falls,N16,10.08819
inj_homicide_gun,N16,0.1917203
inj_trans_road_other,N16,0.1676466
inj_trans_road_pedal,N16,5.359139
inj_trans_road_4wheel,N16,5.792228
inj_animal_venom,N16,0.0496305
inj_drowning,N16,0.0867148
inj_fires,N16,0.3853941
inj_trans_road_pedest,N16,2.660744
inj_foreign_other,N16,0.0567758
inj_foreign_eye,N16,0.0029665
inj_trans_other,N16,3.216532
inj_homicide_other,N16,1.511544
inj_mech_other,N16,4.000866
inj_mech_suffocate,N16,0.1985319
inj_homicide_knife,N16,0.0650356
inj_foreign_aspiration,N16,0.0655379
inj_suicide,N16,0.0248692
inj_othunintent,N16,12.3614
inj_animal_nonven,N16,0.1079616
inj_poisoning,N16,0.0441583
inj_trans_road_2wheel,N16,5.19488
inj_mech_gun,N16,0.3262902
inj_trans_other,N17,2.546741
inj_animal_venom,N17,0.0486884
inj_animal_nonven,N17,0.1195795
inj_drowning,N17,0.1913486
inj_foreign_other,N17,0.047263
inj_mech_suffocate,N17,0.4971408
inj_othunintent,N17,25.16943
inj_poisoning,N17,0.0401205
inj_falls,N17,18.53266
inj_mech_gun,N17,0.6121786
inj_trans_road_pedest,N17,8.80985
inj_trans_road_other,N17,0.2896094
inj_foreign_aspiration,N17,0.0899224
inj_suicide,N17,0.0378356
inj_homicide_other,N17,0.1424974
inj_mech_other,N17,20.89617
inj_fires,N17,0.4263536
inj_foreign_eye,N17,0.0059279
inj_trans_road_2wheel,N17,3.641537
inj_trans_road_4wheel,N17,11.99676
inj_homicide_gun,N17,0.1024536
inj_homicide_knife,N17,0.017525
inj_trans_road_pedal,N17,5.697546
inj_trans_road_pedest,N18,4.032666
inj_foreign_other,N18,0.4295254
inj_animal_venom,N18,0.1274967
inj_trans_other,N18,5.791149
inj_othunintent,N18,30.99196
inj_mech_other,N18,40.2386
inj_trans_road_2wheel,N18,3.708153
inj_trans_road_pedal,N18,7.220379
inj_homicide_gun,N18,0.1338913
inj_animal_nonven,N18,0.2928598
inj_trans_road_4wheel,N18,12.39539
inj_foreign_eye,N18,0.013332
inj_falls,N18,28.94908
inj_poisoning,N18,0.0308753
inj_mech_gun,N18,1.157554
inj_foreign_aspiration,N18,0.1199486
inj_homicide_other,N18,0.942571
inj_mech_suffocate,N18,1.534635
inj_homicide_knife,N18,0.1369813
inj_trans_road_other,N18,0.514651
inj_drowning,N18,0.1239518
inj_fires,N18,0.83774
inj_suicide,N18,0.0890632
inj_trans_road_4wheel,N19,21.25062
inj_animal_nonven,N19,0.3285833
inj_homicide_gun,N19,0.0107559
inj_mech_other,N19,2.36986
inj_trans_road_pedal,N19,7.033558
inj_mech_gun,N19,0.2605962
inj_foreign_other,N19,0.6359587
inj_suicide,N19,0.1302668
inj_trans_road_pedest,N19,10.8936
inj_trans_road_2wheel,N19,1.418843
inj_mech_suffocate,N19,0.6598349
inj_foreign_eye,N19,0.011125
inj_homicide_knife,N19,0.0515012
inj_fires,N19,1.641053
inj_animal_venom,N19,0.0652412
inj_othunintent,N19,15.95804
inj_trans_road_other,N19,1.061943
inj_drowning,N19,0.6389648
inj_falls,N19,235.6085
inj_homicide_other,N19,0.6947303
inj_trans_other,N19,23.79612
inj_poisoning,N19,0.04892
inj_foreign_aspiration,N19,0.471796
inj_trans_road_2wheel,N2,0.0163842
inj_suicide,N2,0.0634814
inj_mech_other,N2,0.2083641
inj_trans_road_other,N2,0.0015639
inj_trans_road_4wheel,N2,0.0497125
inj_trans_road_pedal,N2,0.0037276
inj_mech_suffocate,N2,0.0000387
inj_trans_road_pedest,N2,0.0729897
inj_drowning,N2,0.0005708
inj_animal_venom,N2,0.0004125
inj_foreign_other,N2,0.0353039
inj_othunintent,N2,0.040538
inj_foreign_eye,N2,0.0001334
inj_mech_gun,N2,0.0021253
inj_foreign_aspiration,N2,0.0006124
inj_poisoning,N2,0.0009063
inj_animal_nonven,N2,0.0007283
inj_fires,N2,0.0025814
inj_homicide_gun,N2,0.0002783
inj_homicide_knife,N2,0.0063423
inj_homicide_other,N2,0.0009921
inj_falls,N2,0.076948
inj_trans_other,N2,0.051802
inj_foreign_other,N20,0.1285275
inj_othunintent,N20,40.76426
inj_homicide_knife,N20,0.1481352
inj_trans_road_pedal,N20,27.51097
inj_homicide_other,N20,1.194686
inj_animal_nonven,N20,0.5139776
inj_trans_road_2wheel,N20,11.31695
inj_mech_other,N20,8.129406
inj_falls,N20,80.25472
inj_animal_venom,N20,0.101934
inj_homicide_gun,N20,0.3525287
inj_mech_suffocate,N20,1.923868
inj_suicide,N20,0.1811527
inj_trans_road_other,N20,2.345462
inj_mech_gun,N20,1.017556
inj_trans_road_pedest,N20,25.54276
inj_drowning,N20,0.4432332
inj_foreign_aspiration,N20,0.1392815
inj_foreign_eye,N20,0.013742
inj_trans_road_4wheel,N20,85.30684
inj_trans_other,N20,13.91138
inj_fires,N20,1.325191
inj_poisoning,N20,0.2603577
inj_foreign_aspiration,N21,0.0361314
inj_trans_road_2wheel,N21,1.815283
inj_mech_gun,N21,0.1708446
inj_homicide_knife,N21,0.0133691
inj_othunintent,N21,6.882323
inj_trans_road_4wheel,N21,15.59902
inj_suicide,N21,0.0343496
inj_fires,N21,0.3191064
inj_homicide_gun,N21,0.0899161
inj_drowning,N21,0.141172
inj_mech_other,N21,1.143201
inj_animal_nonven,N21,0.0441696
inj_animal_venom,N21,0.0527017
inj_mech_suffocate,N21,0.0949366
inj_trans_other,N21,3.684362
inj_trans_road_pedest,N21,12.14759
inj_poisoning,N21,0.0447731
inj_foreign_eye,N21,0.0060344
inj_falls,N21,35.62928
inj_foreign_other,N21,0.0157548
inj_trans_road_pedal,N21,1.741132
inj_homicide_other,N21,0.1703957
inj_trans_road_other,N21,0.4182593
inj_homicide_other,N22,1.256942
inj_trans_road_4wheel,N22,23.71763
inj_animal_venom,N22,0.2207086
inj_mech_gun,N22,0.5840252
inj_foreign_aspiration,N22,0.5844465
inj_mech_other,N22,8.412302
inj_trans_road_2wheel,N22,9.438124
inj_drowning,N22,0.1704246
inj_homicide_gun,N22,0.1259681
inj_homicide_knife,N22,0.0861017
inj_othunintent,N22,30.72165
inj_animal_nonven,N22,0.3731244
inj_trans_road_other,N22,2.668021
inj_falls,N22,91.59165
inj_trans_road_pedal,N22,29.66345
inj_suicide,N22,0.1783019
inj_trans_other,N22,10.94514
inj_fires,N22,1.825869
inj_trans_road_pedest,N22,11.40559
inj_foreign_eye,N22,0.0126219
inj_foreign_other,N22,0.1950619
inj_mech_suffocate,N22,0.8625697
inj_poisoning,N22,0.2145956
inj_trans_road_pedal,N23,2.227886
inj_suicide,N23,0.0111255
inj_foreign_aspiration,N23,0.0121276
inj_homicide_other,N23,0.7614063
inj_trans_road_2wheel,N23,2.858271
inj_othunintent,N23,4.691562
inj_animal_venom,N23,0.0192478
inj_trans_road_4wheel,N23,12.43628
inj_trans_other,N23,6.939896
inj_falls,N23,17.846
inj_poisoning,N23,0.0168389
inj_homicide_knife,N23,0.0965307
inj_homicide_gun,N23,0.1236221
inj_mech_suffocate,N23,0.4730421
inj_trans_road_pedest,N23,11.56797
inj_trans_road_other,N23,0.1991493
inj_animal_nonven,N23,0.0949859
inj_drowning,N23,0.0043342
inj_foreign_other,N23,0.1016383
inj_foreign_eye,N23,0.0461104
inj_mech_gun,N23,0.160299
inj_fires,N23,0.1740069
inj_mech_other,N23,2.405767
inj_homicide_other,N24,0.3815976
inj_poisoning,N24,0.0071731
inj_drowning,N24,0.0144785
inj_trans_road_4wheel,N24,10.72293
inj_trans_road_pedest,N24,0.8721335
inj_trans_other,N24,2.4459
inj_trans_road_2wheel,N24,0.297906
inj_homicide_gun,N24,0.0013164
inj_mech_suffocate,N24,0.0865343
inj_foreign_eye,N24,0.0014885
inj_mech_gun,N24,0.0417344
inj_animal_nonven,N24,0.0487143
inj_trans_road_other,N24,0.2861216
inj_animal_venom,N24,0.0014714
inj_suicide,N24,0.0050164
inj_mech_other,N24,1.999437
inj_trans_road_pedal,N24,2.927082
inj_fires,N24,0.0298818
inj_othunintent,N24,7.227036
inj_homicide_knife,N24,0.0058853
inj_falls,N24,14.44645
inj_foreign_aspiration,N24,0.0331068
inj_foreign_other,N24,0.0028467
inj_trans_road_4wheel,N25,20.79398
inj_homicide_knife,N25,0.029229
inj_trans_road_other,N25,0.6821931
inj_othunintent,N25,74.61363
inj_trans_road_pedest,N25,17.94643
inj_falls,N25,83.34853
inj_homicide_gun,N25,0.1723844
inj_animal_nonven,N25,0.088368
inj_trans_road_2wheel,N25,1.374166
inj_mech_suffocate,N25,0.9239089
inj_mech_gun,N25,0.3304902
inj_foreign_eye,N25,0.0067601
inj_foreign_aspiration,N25,0.0942577
inj_suicide,N25,0.0768739
inj_animal_venom,N25,0.0146414
inj_fires,N25,0.6745645
inj_trans_other,N25,3.805079
inj_trans_road_pedal,N25,16.36111
inj_poisoning,N25,0.0264504
inj_mech_other,N25,5.392131
inj_foreign_other,N25,0.0695218
inj_drowning,N25,0.0762993
inj_homicide_other,N25,1.162182
inj_foreign_eye,N26,0.0069414
inj_homicide_other,N26,2.512692
inj_homicide_knife,N26,0.139634
inj_foreign_aspiration,N26,0.2572534
inj_othunintent,N26,56.40103
inj_trans_other,N26,4.636797
inj_falls,N26,110.4257
inj_animal_nonven,N26,0.3504745
inj_fires,N26,1.238164
inj_mech_suffocate,N26,0.6654732
inj_mech_other,N26,12.50725
inj_foreign_other,N26,0.0772803
inj_trans_road_other,N26,1.094182
inj_trans_road_pedal,N26,5.500591
inj_trans_road_pedest,N26,25.85442
inj_animal_venom,N26,0.0607434
inj_drowning,N26,0.21035
inj_homicide_gun,N26,0.2785155
inj_poisoning,N26,0.0590982
inj_trans_road_2wheel,N26,12.0457
inj_suicide,N26,0.0635468
inj_mech_gun,N26,0.883051
inj_trans_road_4wheel,N26,41.51973
inj_mech_other,N27,4.212094
inj_trans_road_other,N27,1.337252
inj_trans_road_pedal,N27,14.69517
inj_poisoning,N27,0.05059
inj_homicide_gun,N27,0.2230443
inj_trans_road_4wheel,N27,20.95539
inj_trans_other,N27,2.80662
inj_mech_gun,N27,0.1131964
inj_foreign_eye,N27,0.0092108
inj_foreign_aspiration,N27,0.0295581
inj_drowning,N27,0.1332344
inj_homicide_knife,N27,0.086893
inj_othunintent,N27,10.85262
inj_homicide_other,N27,2.472492
inj_animal_nonven,N27,0.1116017
inj_fires,N27,0.3600264
inj_trans_road_2wheel,N27,3.987773
inj_mech_suffocate,N27,0.3417268
inj_suicide,N27,0.0335523
inj_falls,N27,10.79407
inj_animal_venom,N27,0.0232735
inj_foreign_other,N27,0.0605314
inj_trans_road_pedest,N27,18.54511
inj_trans_road_4wheel,N28,49.28045
inj_fires,N28,1.000514
inj_trans_road_other,N28,2.727998
inj_trans_road_pedest,N28,39.36206
inj_homicide_gun,N28,0.1264998
inj_trans_other,N28,1.752348
inj_foreign_other,N28,0.0467541
inj_homicide_other,N28,1.351694
inj_mech_suffocate,N28,0.3124666
inj_trans_road_pedal,N28,15.35053
inj_othunintent,N28,3.501335
inj_foreign_eye,N28,0.0832938
inj_mech_gun,N28,0.1998821
inj_foreign_aspiration,N28,0.0602892
inj_falls,N28,38.88721
inj_poisoning,N28,0.096607
inj_animal_venom,N28,0.0529679
inj_suicide,N28,0.1434369
inj_animal_nonven,N28,0.2498911
inj_homicide_knife,N28,0.1036799
inj_drowning,N28,0.2561235
inj_trans_road_2wheel,N28,13.82627
inj_mech_other,N28,3.035773
inj_mech_other,N3,8.453022
inj_foreign_other,N3,0.1232177
inj_animal_venom,N3,0.0229309
inj_trans_road_other,N3,0.0328469
inj_suicide,N3,0.0554699
inj_homicide_knife,N3,0.0770331
inj_drowning,N3,0.0479477
inj_foreign_eye,N3,0.0002477
inj_poisoning,N3,0.0062961
inj_trans_road_4wheel,N3,0.7816542
inj_trans_road_pedest,N3,0.7320833
inj_mech_gun,N3,0.1881734
inj_mech_suffocate,N3,0.2182524
inj_falls,N3,0.5926545
inj_homicide_other,N3,0.0544592
inj_trans_road_pedal,N3,0.1420496
inj_trans_road_2wheel,N3,0.1968276
inj_homicide_gun,N3,0.0237152
inj_foreign_aspiration,N3,0.0418138
inj_animal_nonven,N3,0.0854234
inj_trans_other,N3,0.3934138
inj_fires,N3,0.2308528
inj_othunintent,N3,3.73747
inj_trans_road_other,N30,0.000518
inj_foreign_other,N30,93.25976
inj_homicide_other,N30,0.1106182
inj_animal_venom,N30,0.0294153
inj_foreign_eye,N30,0.1111104
inj_foreign_aspiration,N30,0.0789089
inj_poisoning,N30,0.0163696
inj_mech_gun,N30,0.01352
inj_drowning,N30,0.0010191
inj_othunintent,N30,0.2508126
inj_falls,N30,0.0535976
inj_mech_suffocate,N30,0.0001433
inj_homicide_knife,N30,0.0068255
inj_trans_road_4wheel,N30,0.2257288
inj_trans_road_pedal,N30,0.000518
inj_suicide,N30,0.0229528
inj_trans_road_2wheel,N30,0.0210024
inj_mech_other,N30,0.0496353
inj_animal_nonven,N30,0.0879438
inj_trans_other,N30,0.3685761
inj_fires,N30,0.032363
inj_trans_road_pedest,N30,0.0976225
inj_homicide_gun,N30,0.0004917
inj_drowning,N31,0.1275053
inj_othunintent,N31,1.329788
inj_trans_road_other,N31,0.0043497
inj_animal_nonven,N31,0.016696
inj_suicide,N31,0.0329046
inj_poisoning,N31,0.0578197
inj_mech_suffocate,N31,2.000487
inj_trans_road_pedal,N31,0.0164918
